Class,District,School
Class 5,District 3,Francis Howell
Class 5,District 3,Francis Howell North
Class 5,District 3,Ft. Zumwalt North
Class 5,District 3,Ft. Zumwalt West
Class 5,District 3,Hazelwood Central
Class 5,District 3,Hazelwood West
Class 5,District 3,Hickman
Class 5,District 3,Liberty (Wentzville)
Class 5,District 3,North Point
Class 5,District 3,Pattonville
Class 5,District 3,Ritenour
Class 5,District 3,Rock Bridge
Class 5,District 3,St. Dominic
Class 5,District 3,Timberland
Class 5,District 3,Troy Buchanan
Class 5,District 4,Blue Springs
Class 5,District 4,Blue Springs South
Class 5,District 4,Central (St. Joseph)
Class 5,District 4,Fort Osage
Class 5,District 4,Grain Valley
Class 5,District 4,Lee's Summit
Class 5,District 4,Lee's Summit North
Class 5,District 4,Lee's Summit West
Class 5,District 4,Liberty
Class 5,District 4,Liberty North
Class 5,District 4,North Kansas City
Class 5,District 4,Oak Park
Class 5,District 4,Park Hill
Class 5,District 4,Park Hill South
Class 5,District 4,Platte County
Class 5,District 4,Staley
Class 5,District 4,Truman
Class 5,District 4,William Chrisman
